Site	year	DOY	time	T_R1	T_R0	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2022	15	13.0	290.3432849421166	284.67393844023155	0.0	288.31	287.715	1.50632	11.9426	998.63	310.529	227.724	371.581	1.0	3.0	1.0	1.0	1.0
1	2022	16	13.0	293.8147438265073	284.3100622886928	0.0	292.365	285.152	1.69203	7.694840000000001	995.95	370.656	265.838	380.221	1.0	3.0	1.0	1.0	1.0
1	2022	17	13.0	289.47148723144124	283.5876033809203	0.0	288.089	284.129	2.00714	11.2427	995.546	212.228	150.656	371.609	1.0	3.0	1.0	1.0	1.0
1	2022	18	13.0	293.370190670861	284.31057453725305	0.0	289.626	283.902	2.46905	13.1294	995.703	600.32	379.272	314.658	1.0	3.0	1.0	1.0	1.0
1	2022	19	13.0	294.2824891474259	282.1400675023146	0.0	290.118	282.094	0.738595	11.5085	998.511	611.754	376.846	307.245	1.0	3.0	1.0	1.0	1.0
1	2022	20	13.0	297.25810392849826	277.6309113955377	0.0	294.904	280.358	1.03575	7.99292	1001.72	628.695	380.679	317.733	1.0	3.0	1.0	1.0	1.0
1	2022	21	13.0	295.7183750115127	282.5409741121986	0.0	292.848	284.146	1.97876	8.99185	993.49	637.863	382.339	305.014	1.0	3.0	1.0	1.0	1.0
1	2022	22	13.0	293.8256375981707	274.38014527703973	0.0	290.747	277.182	3.34952	5.62388	995.7510000000001	642.561	385.123	293.493	1.0	3.0	1.0	1.0	1.0
1	2022	23	13.0	295.9861456085698	277.3479224615061	0.0	292.921	280.128	2.00078	6.178790000000001	999.927	643.926	383.907	302.246	1.0	3.0	1.0	1.0	1.0
1	2022	24	13.0	293.8949171378537	280.96032029604777	0.0	290.824	284.642	4.44254	6.935030000000001	995.6139999999999	662.37	395.834	289.567	1.0	3.0	1.0	1.0	1.0
1	2022	25	13.0	293.62440194124935	278.74178928963994	0.0	289.01	279.999	1.55709	8.19877	992.9560000000001	655.899	395.44	291.706	1.0	3.0	1.0	1.0	1.0
1	2022	26	13.0	294.4545640378097	276.9826922176879	0.0	290.067	282.277	1.81995	6.307590000000001	997.2180000000001	664.217	393.288	288.384	1.0	3.0	1.0	1.0	1.0
1	2022	27	13.0	294.9333553279493	273.1034547511339	0.0	291.06	275.905	2.65863	4.97659	999.538	675.557	399.771	288.782	1.0	3.0	1.0	1.0	1.0
1	2022	28	13.0	295.45720549248995	274.2705824824229	0.0	292.346	277.8	3.06566	3.2951200000000003	1001.64	681.336	399.578	288.388	1.0	3.0	1.0	1.0	1.0
