Site	year	DOY	time	T_R1	T_C	T_S	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	33	15.5	293.2979261938586	293.2979261938586	313.15	0.0	288.381	0.0	3.84707	12.625899999999998	996.272	432.537	245.225	303.231	1.0	3.0	1.0	1.0	1.0
1	2021	33	16.0	291.54504084730473	291.54504084730473	313.15	0.0	287.947	0.0	4.41216	12.7433	996.092	343.877	175.989	301.847	1.0	3.0	1.0	1.0	1.0
1	2021	33	19.0	284.08802112739056	284.08802112739056	313.15	0.0	284.561	0.0	3.99606	12.1251	996.657	-3.23733	-78.4538	294.307	1.0	3.0	1.0	1.0	1.0
1	2021	33	19.5	284.012439681592	284.012439681592	313.15	0.0	284.09	0.0	5.295	12.0756	996.6110000000001	-3.20574	-76.4179	295.385	1.0	3.0	1.0	1.0	1.0
1	2021	33	21.0	283.6539210439496	283.6539210439496	313.15	0.0	282.999	0.0	4.67316	11.7397	996.96	-1.72304	-34.7955	333.601	1.0	3.0	1.0	1.0	1.0
1	2021	34	2.0	283.93416964592654	283.93416964592654	313.15	0.0	283.126	0.0	3.20353	11.8834	997.7819999999999	-0.343325	-2.98727	365.757	1.0	3.0	1.0	1.0	1.0
1	2021	34	5.5	281.71716212042594	281.71716212042594	313.15	0.0	282.767	0.0	0.98639	11.0696	997.264	-3.04507	-65.1085	295.68	1.0	3.0	1.0	1.0	1.0
1	2021	34	7.0	281.7674703272001	281.7674703272001	313.15	0.0	282.534	0.0	2.10899	10.5654	997.398	-2.36345	-76.7688	283.38	1.0	3.0	1.0	1.0	1.0
1	2021	34	7.5	282.1289882959425	282.1289882959425	313.15	0.0	282.683	0.0	3.07605	10.5104	997.3019999999999	8.09424	-69.6112	282.372	1.0	3.0	1.0	1.0	1.0
1	2021	34	8.5	284.2297886005152	284.2297886005152	313.15	0.0	283.672	0.0	3.45621	11.5565	997.6089999999999	215.132	92.5766	282.565	1.0	3.0	1.0	1.0	1.0
1	2021	34	9.0	285.7728624611902	285.7728624611902	313.15	0.0	284.271	0.0	3.8549	10.7851	997.864	319.788	175.029	283.937	1.0	3.0	1.0	1.0	1.0
1	2021	34	10.0	289.58724215136704	289.58724215136704	313.15	0.0	285.977	0.0	2.81243	11.028699999999997	998.082	488.012	307.505	290.631	1.0	3.0	1.0	1.0	1.0
1	2021	34	10.5	291.96649406816005	291.96649406816005	313.15	0.0	286.879	0.0	2.48378	11.179000000000002	998.19	565.553	362.42	293.367	1.0	3.0	1.0	1.0	1.0
1	2021	34	11.0	294.1639338575404	294.1639338575404	313.15	0.0	288.136	0.0	2.71551	11.050699999999999	998.0810000000001	626.233	406.795	296.755	1.0	3.0	1.0	1.0	1.0
1	2021	34	11.5	295.5717166105821	295.5717166105821	313.15	0.0	289.307	0.0	4.27243	10.1542	997.923	672.202	441.822	299.238	1.0	3.0	1.0	1.0	1.0
1	2021	34	12.0	295.9240636340276	295.9240636340276	313.15	0.0	289.305	0.0	4.08284	10.065999999999999	997.8410000000001	639.067	416.069	302.918	1.0	3.0	1.0	1.0	1.0
1	2021	34	12.5	296.59975354546674	296.59975354546674	313.15	0.0	288.915	0.0	3.78571	10.3095	997.79	679.452	445.371	301.826	1.0	3.0	1.0	1.0	1.0
1	2021	34	13.0	296.2454765741486	296.2454765741486	313.15	0.0	288.188	0.0	4.15891	10.266300000000001	997.2439999999999	691.603	450.503	295.54	1.0	3.0	1.0	1.0	1.0
1	2021	34	13.5	294.8049905401307	294.8049905401307	313.15	0.0	287.916	0.0	6.60571	9.65316	996.554	693.267	455.966	293.413	1.0	3.0	1.0	1.0	1.0
1	2021	34	14.0	294.4147547655341	294.4147547655341	313.15	0.0	288.176	0.0	5.17251	9.42879	996.268	590.268	375.052	299.013	1.0	3.0	1.0	1.0	1.0
1	2021	34	14.5	292.64408660155283	292.64408660155283	313.15	0.0	287.94	0.0	4.13624	9.391670000000001	996.1400000000001	420.071	249.135	306.147	1.0	3.0	1.0	1.0	1.0
1	2021	34	15.5	288.61146743183366	288.61146743183366	313.15	0.0	285.859	0.0	4.69908	9.760440000000001	996.413	245.632	119.841	303.067	1.0	3.0	1.0	1.0	1.0
1	2021	34	20.5	281.9229105944577	281.9229105944577	313.15	0.0	283.214	0.0	3.2113	8.77273	996.3580000000001	-3.88278	-80.7129	281.512	1.0	3.0	1.0	1.0	1.0
1	2021	34	21.0	282.16277687630276	282.16277687630276	313.15	0.0	283.638	0.0	3.53058	8.21216	996.47	-3.82968	-84.6827	278.707	1.0	3.0	1.0	1.0	1.0
1	2021	34	21.5	282.3330130679387	282.3330130679387	313.15	0.0	284.199	0.0	4.60877	7.2878300000000005	996.988	-4.00958	-87.0946	277.373	1.0	3.0	1.0	1.0	1.0
1	2021	34	23.5	281.24107175163726	281.24107175163726	313.15	0.0	283.296	0.0	3.56306	5.28794	997.2710000000001	-4.67609	-90.0418	268.99	1.0	3.0	1.0	1.0	1.0
1	2021	35	0.5	280.427851294019	280.427851294019	313.15	0.0	282.353	0.0	3.20289	5.32488	996.492	-4.46186	-89.9742	265.111	1.0	3.0	1.0	1.0	1.0
1	2021	35	1.0	280.06521937737807	280.06521937737807	313.15	0.0	281.952	0.0	4.06969	5.41093	996.4	-4.28836	-91.3661	261.769	1.0	3.0	1.0	1.0	1.0
1	2021	35	2.0	280.0972556291776	280.0972556291776	313.15	0.0	281.901	0.0	4.48008	5.20436	997.0550000000001	-4.33277	-94.112	259.058	1.0	3.0	1.0	1.0	1.0
1	2021	35	2.5	279.67305734632504	279.67305734632504	313.15	0.0	281.662	0.0	3.26086	5.09366	997.088	-4.61109	-92.1936	259.169	1.0	3.0	1.0	1.0	1.0
1	2021	35	4.5	274.5683355856203	274.5683355856203	313.15	0.0	276.978	0.0	0.989544	5.76275	997.1119999999999	-2.75301	-72.8134	253.541	1.0	3.0	1.0	1.0	1.0
1	2021	35	7.0	279.4834147120175	279.4834147120175	313.15	0.0	281.007	0.0	6.42372	5.99811	997.235	-2.06819	-90.2892	257.772	1.0	3.0	1.0	1.0	1.0
1	2021	35	9.5	287.41544428261363	287.41544428261363	313.15	0.0	283.936	0.0	3.16623	6.75608	998.892	431.47	243.899	270.904	1.0	3.0	1.0	1.0	1.0
1	2021	35	10.0	290.33208723364993	290.33208723364993	313.15	0.0	285.002	0.0	2.28767	7.02036	999.107	514.997	307.236	276.141	1.0	3.0	1.0	1.0	1.0
1	2021	35	11.0	294.0198105505175	294.0198105505175	313.15	0.0	286.583	0.0	3.09034	7.15746	999.1589999999999	645.235	408.872	282.52	1.0	3.0	1.0	1.0	1.0
1	2021	35	11.5	296.469230856405	296.469230856405	313.15	0.0	287.796	0.0	1.96776	7.24972	999.02	685.351	434.42	286.442	1.0	3.0	1.0	1.0	1.0
1	2021	35	12.0	297.8520157802378	297.8520157802378	313.15	0.0	288.43	0.0	2.10231	7.11576	998.7149999999999	708.458	450.797	289.456	1.0	3.0	1.0	1.0	1.0
1	2021	35	12.5	299.02772378135387	299.02772378135387	313.15	0.0	289.238	0.0	1.97752	6.53322	998.417	718.197	453.706	291.773	1.0	3.0	1.0	1.0	1.0
1	2021	35	13.0	299.86567731440704	299.86567731440704	313.15	0.0	290.076	0.0	1.77096	6.361180000000001	998.143	709.928	444.751	295.345	1.0	3.0	1.0	1.0	1.0
1	2021	35	14.0	298.7721473191341	298.7721473191341	313.15	0.0	290.682	0.0	2.87815	6.94432	997.7330000000001	650.927	401.502	298.189	1.0	3.0	1.0	1.0	1.0
1	2021	35	14.5	297.6713829633615	297.6713829633615	313.15	0.0	290.234	0.0	2.74455	7.46247	997.8660000000001	596.005	358.04	297.354	1.0	3.0	1.0	1.0	1.0
1	2021	35	15.0	296.0856744183956	296.0856744183956	313.15	0.0	289.545	0.0	2.6625	8.05827	997.838	527.546	304.467	295.556	1.0	3.0	1.0	1.0	1.0
